,count,mean,std,min,25%,50%,75%,max,99%,98%,95%,90%
--GoldFish--,175.0,1084.8342857142857,749.7999204166499,52.0,515.0,839.0,1535.0,3547.0,3431.6999999999994,2895.0000000000005,2517.1,2113.2
0000000000000000000000000,223.0,652.1659192825113,473.7759993625801,1.0,359.0,536.0,899.0,2700.0,2152.1800000000003,1828.44,1510.3999999999996,1321.8000000000002
01Jeff,409.0,893.7066014669927,815.305790089444,1.0,360.0,642.0,1100.0,3546.0,3408.0400000000013,3276.56,2850.999999999999,2112.0
034mks034,301.0,851.5647840531561,695.3873404722267,1.0,365.0,641.0,1112.0,3587.0,3200.0,3020.0,2402.0,1694.0
0486,1268.0,557.6711356466877,532.3858718503229,2.0,208.75,441.0,685.75,3581.0,2830.5899999999983,2355.600000000005,1668.8999999999992,1086.8999999999999
072ksh00,273.0,698.4652014652015,660.8054296691259,1.0,230.0,540.0,900.0,3517.0,3181.1999999999975,2755.3200000000006,2113.6,1531.6000000000004
0912341412,775.0,1099.9587096774194,863.4660658484026,1.0,420.5,850.0,1573.0,3598.0,3428.3799999999997,3295.7999999999997,2984.9999999999995,2461.2000000000003
0Lr4K,127.0,827.3385826771654,740.4607126591026,12.0,360.0,545.0,1060.0,3566.0,3210.959999999998,2908.0000000000005,2499.1,1842.6000000000008
0SillentStriker0,583.0,810.47512864494,590.7059807144587,1.0,428.5,670.0,989.5,3599.0,2928.939999999996,2616.5600000000004,2099.0,1563.600000000002
0_Kodiak_0,176.0,1122.5397727272727,693.0703189291253,3.0,584.0,985.0,1556.75,3181.0,2906.25,2844.5,2422.25,2135.5
0ffIine,309.0,884.9935275080907,647.6203693639613,12.0,434.0,692.0,1118.0,3536.0,3107.800000000001,2951.159999999998,2135.2,1722.0
0hbabyitseddie,205.0,1319.668292682927,903.5574610999157,308.0,588.0,958.0,1802.0,3581.0,3569.92,3484.6399999999994,3219.6,2861.999999999999
0kulak_Tora0,130.0,1031.1923076923076,756.0341764162265,78.0,513.5,817.5,1265.25,3386.0,3297.9399999999996,3281.04,2722.3,2141.4000000000005
0liveYoung,1247.0,419.3544506816359,467.87758147428576,3.0,136.5,294.0,522.0,3421.0,2559.9199999999983,2162.959999999999,1258.7,899.0
